t,x,y,z,x_ref,y_ref,z_ref,vx,vy,vz,roll,pitch,yaw,roll_ref,pitch_ref,yaw_ref,acc_x_cmd,acc_y_cmd,acc_z_cmd,thrust_total,tau_x,tau_y,tau_z,f1,f2,f3,f4
0.09999999999999999,4.600920345343532e-06,4.028693984664763e-07,0.01884981450955396,0.0,0.0,0.0,8.714874362722112e-05,7.382704982359324e-06,0.15721395405503918,-7.82662877518033e-06,9.486102319255181e-05,1.0377126463555524e-08,3.425575774634058e-06,-3.598020885188184e-05,0.0,-0.00035296584883696085,-3.360489834916011e-05,-0.7941719399916246,0.24342735872293625,2.0424973275631735e-08,-2.3800080751367683e-07,-2.011703349404107e-11,0.06085882840956523,0.06085851250278772,0.06085485262832232,0.06085516518226098
0.10999999999999999,5.508581981408553e-06,4.796576663098217e-07,0.020382046972876162,0.0,0.0,0.0,9.420527376373756e-05,7.959608468657559e-06,0.14923320966290632,-6.905592161495046e-06,8.416092241855478e-05,1.1643674598489995e-08,3.697646574103297e-06,-3.8945387149570676e-05,0.0,-0.0003820542479372884,-3.6273912891953345e-05,-0.7653068595583088,0.24420671566261393,1.3451973524159368e-08,-1.557561579914365e-07,-2.0907447944417252e-11,0.06105298138780879,0.06105277269208266,0.06105037818578547,0.061050583396937
0.11999999999999998,6.4814213881469335e-06,5.617510085262533e-07,0.02183593479779462,0.0,0.0,0.0,0.00010017132323835493,8.442603612315978e-06,0.14154496903850158,-5.88402677881974e-06,7.228635612614938e-05,1.284648182060109e-08,3.927153895364102e-06,-4.1472236826927554e-05,0.0,-0.0004068426432721593,-3.852537971352184e-05,-0.7373976607431123,0.24496026380417404,6.903348801923729e-09,-7.891632331289548e-08,-2.1612654891249493e-11,0.06124072700289474,0.06124061899647402,0.06123940670024682,0.06123951110455846
0.12999999999999998,7.508173754566437e-06,6.481793269012704e-07,0.023214353552239112,0.0,0.0,0.0,0.00010497985480961796,8.825909285688107e-06,0.13413934262765909,-4.791751085301249e-06,5.958991344738758e-05,1.3977704092314977e-08,4.111351900729122e-06,-4.353233275283486e-05,0.0,-0.00042705218430531,-4.033236214615269e-05,-0.7104130681647658,0.2456888475985873,8.516377588890511e-10,-8.296504863417118e-09,-2.2226732407104633e-11,0.06142228319608853,0.06142226824174149,0.061422142455432795,0.06142215370532449
0.13999999999999999,8.577050380342253e-06,7.379271819404833e-07,0.024520081601065672,0.0,0.0,0.0,0.00010859280851774568,9.106213335464719e-06,0.12700677905386648,-3.6569933511046937e-06,4.640370531761189e-05,1.5031124711123414e-08,4.248622918698745e-06,-4.510901446812516e-05,0.0,-0.00044251943193230784,-4.167899083243469e-05,-0.6843228811073012,0.24639328247703027,-4.645436840519674e-09,5.54737070908931e-08,-2.274557160905042e-11,0.061597859112036385,0.0615979286848312,0.06159878402194302,0.06159871065821966
0.15,9.676018711631976e-06,8.299577168120904e-07,0.025755803424837766,0.0,0.0,0.0,0.00011099910087412608,9.28251467047001e-06,0.12013805254126433,-2.5060582831544094e-06,3.303557135875446e-05,1.600226447170631e-08,4.338407323963968e-06,-4.619659747936337e-05,0.0,-0.0004531886212725547,-4.2559775848086524e-05,-0.6590979321899432,0.24707435596646957,-9.54464655185527e-09,1.119436693079248e-07,-2.316694644779673e-11,0.061767655431400205,0.06176780034153754,0.06176952448241342,0.0617693757111184
0.16,1.0793060793068513e-05,9.23234861367854e-07,0.026924112815549732,0.0,0.0,0.0,0.00011221232042922378,9.355938110103136e-06,0.11352425087853664,-1.3630551136692069e-06,1.976606400806499e-05,1.688835827680964e-08,4.381120755735329e-06,-4.6799458661601446e-05,0.0,-0.0004591026894703102,-4.2978794613763576e-05,-0.6347100479049437,0.2477328287551909,-1.3816688205567081e-08,1.6083224780623978e-07,-2.3490447992567528e-11,0.061931864714212435,0.061932075321109066,0.06193455162092032,0.06193433709894908
0.17,1.1916407450304445e-05,1.0167435719876075e-06,0.02802751595456311,0.0,0.0,0.0,0.00011226818953855754,9.329527610675225e-06,0.1071567638961633,-2.496868790822493e-07,6.846193726904501e-06,1.7688224573501684e-08,4.378061227464499e-06,-4.693102397879912e-05,0.0,-0.00046039334523201937,-4.294878064142674e-05,-0.611132010923725,0.24836943571088774,-1.744543199792347e-08,2.0201636893574314e-07,-2.3717305081238835e-11,0.062090671748243474,0.062090938163062916,0.06209404808364246,0.06209377771593889
0.18000000000000002,1.3034746205283302e-05,1.109507918727882e-06,0.0290684343777595,0.0,0.0,0.0,0.00011122185987996112,9.208023383150629e-06,0.10102727243113649,8.149009705305537e-07,-5.504098333071978e-06,1.8402056447162576e-08,4.331308638834792e-06,-4.661268587307478e-05,0.0,-0.00045727044841486364,-4.2490137746969316e-05,-0.5883375240778079,0.2489848868537534,-2.042701995969849e-08,2.3551799286022086e-07,-2.3850131102844114e-11,0.06224425389940287,0.06224456617373751,0.062248191514984716,0.06224787526562829
0.19000000000000003,1.4137401586115423e-05,1.2006068854787382e-06,0.03004920783266222,0.0,0.0,0.0,0.00010914510596066284,8.997628220250686e-06,0.0951277377547623,1.814215389762261e-06,-1.7096783817411086e-05,1.9031163255152472e-08,4.243619116445758e-06,-4.587267638628552e-05,0.0,-0.000450010955349461,-4.1629903532332886e-05,-0.5663011759266765,0.24957986828686657,-2.276884303280903e-08,2.614898822318198e-07,-2.3892626365902467e-11,0.06239278146166377,0.062393129760504415,0.062397154672821684,0.0623968023918767
0.20000000000000004,1.521448711559614e-05,1.2891878007073005e-06,0.030972097032042258,0.0,0.0,0.0,0.00010612347668626206,8.705768078648085e-06,0.08945039144058557,2.7344574362285735e-06,-2.7775957912421525e-05,1.957768979174865e-08,4.118316489764354e-06,-4.4744920438824115e-05,0.0,-0.0004389476695048646,-4.0400684764588314e-05,-0.5449984078300294,0.2501550430860222,-2.4488423749171138e-08,2.8020051667050943e-07,-2.3849260531153215e-11,0.06253641800414457,0.06253679276168699,0.06254110552630487,0.06254072679388578
0.21000000000000005,1.6257028839327143e-05,1.3744773651862938e-06,0.03183928630830129,0.0,0.0,0.0,0.00010225346020793252,8.340851625172117e-06,0.0839877256507984,3.56451486696932e-06,-3.741747425502116e-05,2.0044336611605465e-08,3.959183059143884e-06,-4.326789176647205e-05,0.0,-0.0004244580182290909,-3.883958581020151e-05,-0.5244054824467788,0.2507110521510359,-2.5612230637014852e-08,2.9201848389190647e-07,-2.3724968601739224e-11,0.06267532071311063,0.06267571277034745,0.062680207339488,0.06267981132808982
