t,x,y,z,x_ref,y_ref,z_ref,vx,vy,vz,roll,pitch,yaw,roll_ref,pitch_ref,yaw_ref,acc_x_cmd,acc_y_cmd,acc_z_cmd,thrust_total,tau_x,tau_y,tau_z,f1,f2,f3,f4
0.000000,0.000000000,0.000000000,0.100000000,0.000000000,0.000000000,0.100000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.412020000,0.000000000000,0.000000000000,0.000000000000,0.103005000,0.103005000,0.103005000,0.103005000
0.010000,0.000000000,-0.000000000,0.100000000,0.000000000,0.000000000,0.100000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.412020000,0.000000000000,0.000000000000,0.000000000000,0.103005000,0.103005000,0.103005000,0.103005000
0.020000,0.000000000,-0.000000000,0.100000000,0.000000000,0.000000000,0.100000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.412020000,-0.000000000000,0.000000000000,-0.000000000000,0.103005000,0.103005000,0.103005000,0.103005000
0.030000,0.000000000,-0.000000000,0.100000000,0.000000000,0.000000000,0.100000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.412020000,-0.000000000000,0.000000000000,-0.000000000000,0.103005000,0.103005000,0.103005000,0.103005000
0.040000,0.000000000,-0.000000000,0.100000000,0.000000000,0.000000000,0.100000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.412020000,-0.000000000000,0.000000000000,-0.000000000000,0.103005000,0.103005000,0.103005000,0.103005000
0.050000,0.000000000,-0.000000000,0.100000000,0.000000000,0.000000000,0.100000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.412020000,0.000000000000,0.000000000000,-0.000000000000,0.103005000,0.103005000,0.103005000,0.103005000
0.060000,0.000000000,-0.000000000,0.100000000,0.000000000,0.000000000,0.100000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.412020000,0.000000000000,0.000000000000,-0.000000000000,0.103005000,0.103005000,0.103005000,0.103005000
0.070000,0.000000000,-0.000000000,0.100000000,0.000000000,0.000000000,0.100000000,-0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.412020000,0.000000000000,0.000000000000,-0.000000000000,0.103005000,0.103005000,0.103005000,0.103005000
0.080000,0.000000000,-0.000000000,0.100000000,0.000000000,0.000000000,0.100000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.412020000,-0.000000000000,0.000000000000,-0.000000000000,0.103005000,0.103005000,0.103005000,0.103005000
0.090000,0.000000000,-0.000000000,0.100000000,0.000000000,0.000000000,0.100000000,-0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.412020000,-0.000000000000,0.000000000000,-0.000000000000,0.103005000,0.103005000,0.103005000,0.103005000
0.100000,-0.000000000,-0.000000000,0.100000000,0.000000000,0.000000000,0.100000000,-0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.412020000,0.000000000000,0.000000000000,-0.000000000000,0.103005000,0.103005000,0.103005000,0.103005000
0.110000,-0.000000000,-0.000000000,0.100000000,0.000000000,0.000000000,0.100000000,-0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.412020000,-0.000000000000,0.000000000000,-0.000000000000,0.103005000,0.103005000,0.103005000,0.103005000
0.120000,-0.000000000,-0.000000000,0.100000000,0.000000000,0.000000000,0.100000000,-0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.412020000,0.000000000000,0.000000000000,-0.000000000000,0.103005000,0.103005000,0.103005000,0.103005000
0.130000,-0.000000000,-0.000000000,0.100000000,0.000000000,0.000000000,0.100000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.412020000,0.000000000000,0.000000000000,-0.000000000000,0.103005000,0.103005000,0.103005000,0.103005000
0.140000,-0.000000000,-0.000000000,0.100000000,0.000000000,0.000000000,0.100000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.412020000,0.000000000000,0.000000000000,-0.000000000000,0.103005000,0.103005000,0.103005000,0.103005000
0.150000,0.000000000,-0.000000000,0.100000000,0.000000000,0.000000000,0.100000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.412020000,0.000000000000,0.000000000000,-0.000000000000,0.103005000,0.103005000,0.103005000,0.103005000
0.160000,0.000000000,-0.000000000,0.100000000,0.000000000,0.000000000,0.100000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.412020000,0.000000000000,0.000000000000,-0.000000000000,0.103005000,0.103005000,0.103005000,0.103005000
