t,x,y,z,x_ref,y_ref,z_ref,vx,vy,vz,roll,pitch,yaw,roll_ref,pitch_ref,yaw_ref,acc_x_cmd,acc_y_cmd,acc_z_cmd,thrust_total,tau_x,tau_y,tau_z,f1,f2,f3,f4
0.09999999999999999,4.595990657414391e-06,4.0511757924181104e-07,0.019154347431215156,0.0,0.0,0.0,8.690255159971212e-05,7.431684633058941e-06,0.1640149744569367,-7.806828666025726e-06,9.304631406137205e-05,1.0343105330553971e-08,3.448261218047396e-06,-4.02852062987133e-05,0.0,-0.0003951978737903775,-3.3827442549044956e-05,-0.7422544612682149,0.24482913061303732,2.042877499966199e-08,-2.4099562108486947e-07,-2.0037723715535664e-11,0.06120929444505743,0.061208978486401,0.06120527253127151,0.06120558515030738
0.10999999999999999,5.500428389021732e-06,4.824034559623065e-07,0.020757167839604754,0.0,0.0,0.0,9.380184977049329e-05,8.01005874742101e-06,0.15654976356998918,-6.88553380933413e-06,8.210584403090318e-05,1.160566407719039e-08,3.721054805969291e-06,-4.353299791206313e-05,0.0,-0.0004270587095173393,-3.6503547646558743e-05,-0.7196063095581781,0.2454406304750504,1.3458153056738488e-08,-1.5853819030044586e-07,-2.082605542006101e-11,0.06136148153530996,0.0613612727512968,0.06135883543771984,0.06135904075072381
0.11999999999999998,6.468300007167599e-06,5.65004548517023e-07,0.022286487740549307,0.0,0.0,0.0,9.957622385862498e-05,8.493616542554291e-06,0.1493148238165272,-5.863706353658477e-06,6.997890242711439e-05,1.2804540213238397e-08,3.950869394758969e-06,-4.627058892663234e-05,0.0,-0.00045391447737026325,-3.8758028762585484e-05,-0.6975484900985807,0.24603619137399343,6.90917625039662e-09,-8.107345847947821e-08,-2.1529293090615343e-11,0.061509725530050144,0.061509617440923176,0.061508371951054304,0.06150847645196581
0.12999999999999998,7.487997681790723e-06,6.519422825406886e-07,0.02374457888651027,0.0,0.0,0.0,0.00010415897587061034,8.8767001327874e-06,0.14230396662143804,-4.77114775315407e-06,5.701802743886121e-05,1.3931857092370253e-08,4.1350148589150816e-06,-4.846631899402224e-05,0.0,-0.0004754545893313582,-4.056449576595695e-05,-0.6760664714750484,0.24661620567386217,8.550527659087771e-10,-9.467602606559263e-09,-2.2141478580499102e-11,0.061654131746068465,0.06165411674628734,0.061653972935985804,0.06165398424552056
0.13999999999999999,8.547394543510663e-06,7.421940106493786e-07,0.02513365196487269,0.0,0.0,0.0,0.0001075126898143419,9.156126949949314e-06,0.1355111673548669,-3.6360820493010103e-06,4.3557078855846335e-05,1.498136190982087e-08,4.271932271650236e-06,-5.010191225827708e-05,0.0,-0.0004914997592536982,-4.190765558488882e-05,-0.6551461032613947,0.2471810554480547,-4.645850385173568e-09,5.558896397409655e-08,-2.2658463787198008e-11,0.06179480146139048,0.061794871047806496,0.06179572815084215,0.06179565478801556
0.15,9.63412808296808e-06,8.34716970114989e-07,0.026455858212758573,0.0,0.0,0.0,0.00010962729269717308,9.331026005687191e-06,0.12893056041508907,-2.48481972042612e-06,2.990725937270583e-05,1.5948545700098876e-08,4.361121115922691e-06,-5.117161390539757e-05,0.0,-0.0005019935324119502,-4.27825981472016e-05,-0.6347736036177699,0.24773111281387583,-9.549711720566951e-09,1.1357800786445341e-07,-2.3077991440871534e-11,0.06193183202874742,0.06193197702422335,0.06193372630135642,0.06193357745954864
0.16,1.0735862561395671e-05,9.28470468021419e-07,0.027713290983603606,0.0,0.0,0.0,0.00011051780663722957,9.40264804292091e-06,0.12255643449768501,-1.341483027506587e-06,1.63538653114747e-05,1.6830628722782535e-08,4.4030543463572315e-06,-5.1681183096104917e-05,0.0,-0.0005069924061727893,-4.319396313776444e-05,-0.6149355474169562,0.24826674025316492,-1.3826704586120618e-08,1.6414694321975288e-07,-2.3399637012920492e-11,0.062065317010216045,0.06206552777877841,0.06206805506633614,0.06206784039783432
0.17,1.1840527671565705e-05,1.022436060499074e-06,0.02890798726731636,0.0,0.0,0.0,0.00011022185754167157,9.374155105162265e-06,0.11638322804229023,-2.277927100825026e-07,3.1537637423767503e-06,1.7626436426635654e-08,4.399083815566189e-06,-5.1646772053203994e-05,0.0,-0.0005066548338419312,-4.315501223070432e-05,-0.5956188548720845,0.24878829091969745,-1.7460256964758223e-08,2.0710006687706966e-07,-2.362463538985742e-11,0.06219534632717768,0.062195612977796015,0.06219880110139063,0.06219853051333313
0.18000000000000002,1.2936531337061513e-05,1.1156355474420917e-06,0.03004192916575431,0.0,0.0,0.0,0.00010879700447176472,9.250394940540185e-06,0.11040552484866414,8.370857352007534e-07,-9.466425123581222e-06,1.833619410031096e-08,4.351338532365017e-06,-5.1093720522558264e-05,0.0,-0.0005012293983262966,-4.268663100250082e-05,-0.5768107806405509,0.2492961089339626,-2.0446155916560253e-08,2.4238795542410647e-07,-2.37556334842493e-11,0.062322006422452225,0.062322318999061,0.062326050024165164,0.0623257334882842
0.19000000000000003,1.4012945167908363e-05,1.2071466573436487e-06,0.0311170453251706,0.0,0.0,0.0,0.0001063179514403548,9.037665456998865e-06,0.10461804985426253,1.8366388889027677e-06,-2.131147221262684e-05,1.8961268828470475e-08,4.262618132616856e-06,-5.005529379538369e-05,0.0,-0.0004910424321327141,-4.181628388097136e-05,-0.5584989033803178,0.2497905296658775,-2.2791525760696845e-08,2.700953673789908e-07,-2.3796388964614717e-11,0.062445380431884495,0.06244572908770997,0.06244988638408664,0.0624495337621964
0.20000000000000004,1.5059661692464875e-05,1.296116347732974e-06,0.03213521232720937,0.0,0.0,0.0,0.00010287370014058958,8.743474170980257e-06,0.09901566506591063,2.7570487713234235e-06,-3.221805097648707e-05,1.9503885886197087e-08,4.136283822605248e-06,-4.8571391045450706e-05,0.0,-0.00047648534615587145,-4.057694429975748e-05,-0.5406711157360846,0.2502718800059684,-2.4513707883583345e-08,2.904279806069944e-07,-2.3751451102365465e-11,0.06256554836276287,0.06256592351744275,0.06257039361950889,0.06257001450625388
0.21000000000000005,1.6067523051089803e-05,1.3817716944846946e-06,0.03309825603995546,0.0,0.0,0.0,9.856469812294532e-05,8.376297255655816e-06,0.09359336563855951,3.5871867365203343e-06,-4.205466328785806e-05,1.996684368005189e-08,3.9761489052203495e-06,-4.668724896016664e-05,0.0,-0.0004580019122992347,-3.900602076021163e-05,-0.5233156147340376,0.2507404786255234,-2.563906917468559e-08,3.036982843142755e-07,-2.3625850427079504e-11,0.06268258727653367,0.0626829797549309,0.06268765400504887,0.06268725758900996
0.22000000000000006,1.7028421359777744e-05,1.4634283874323887e-06,0.03400795293047592,0.0,0.0,0.0,9.350003235399028e-05,7.945342407692224e-06,0.08834627609447103,4.318562369957752e-06,-5.072103279165829e-05,2.0353247247167827e-08,3.7863708259608333e-06,-4.445216358988341e-05,0.0,-0.0004360757248167562,-3.714429780267578e-05,-0.5064208925650258,0.25119663622620386,-2.6201764829065293e-08,3.103109309166977e-07,-2.342481136036658e-11,0.06279657147338671,0.06279697262539341,0.06280174859178281,0.06280134353564093
0.23000000000000007,1.7935371426340764e-05,1.5404968898009983e-06,0.03486603134022582,0.0,0.0,0.0,8.779471303600161e-05,7.460319324704687e-06,0.08326964667651736,4.945232216224331e-06,-5.8147022856421e-05,2.066627558839711e-08,3.5713464838411865e-06,-4.191825106480264e-05,0.0,-0.00041121804294571397,-3.503490900648204e-05,-0.48997572773708564,0.2516406557795838,-2.624247985063395e-08,3.1074783548473825e-07,-2.315350850471515e-11,0.06290757267643057,0.0629079744774308,0.06291275714282034,0.06291235148290207
0.24000000000000007,1.8782556923736343e-05,1.6124863546337129e-06,0.03567417272462955,0.0,0.0,0.0,8.156708716925865e-05,6.931221129739457e-06,0.07835884982960159,5.4636734074870716e-06,-6.429113916189445e-05,2.0908993177800213e-08,3.3356123466594884e-06,-3.913926539174583e-05,0.0,-0.00038395619349302664,-3.2722357120729584e-05,-0.4739691765792393,0.25207283275707565,-2.5807171793209445e-08,3.055532899382428e-07,-2.2816870882330548e-11,0.06301566021334314,0.06301605534534947,0.06302075806660055,0.06302035913178249
